"filename","exists","hash_match","actual","expected"
"20260729_095410(0).jpg","True","True","a4b90c8f849c3c2145cf9f8a4effaa151f128c5c1bb9907bfa0b1b061aa7addb","a4b90c8f849c3c2145cf9f8a4effaa151f128c5c1bb9907bfa0b1b061aa7addb"
"20260729_095512(0).jpg","True","True","d623872b8292293a58bccef1219731ba9c2539b2f9d6821315cab62a2833744c","d623872b8292293a58bccef1219731ba9c2539b2f9d6821315cab62a2833744c"
"20260729_095513(0).jpg","True","True","cbd695e93e55df8fddae292aee87a03eb59dfac264aacb30f332380f59cef2e1","cbd695e93e55df8fddae292aee87a03eb59dfac264aacb30f332380f59cef2e1"
"20260729_095516(0).jpg","True","True","439882c0a1fdfa1e922997c64a44698a8e1f62a22ebe3b9eb6bb9ed907d80878","439882c0a1fdfa1e922997c64a44698a8e1f62a22ebe3b9eb6bb9ed907d80878"
"20260729_095525(0).jpg","True","True","e57868f52abbfa8b71d910c82be2198777a8408f6521416a9a515cafc34a029d","e57868f52abbfa8b71d910c82be2198777a8408f6521416a9a515cafc34a029d"
"20260729_095527.jpg","True","True","b0ebd7f7280f0dfac30b20bb72ebb3720afe21967ff96cec78a422fcbb9bed17","b0ebd7f7280f0dfac30b20bb72ebb3720afe21967ff96cec78a422fcbb9bed17"
"20260729_095529(0).jpg","True","True","330e105fcdbcb132d591fd617b24798788381d5581657b5fa9dc2b46c39b1f13","330e105fcdbcb132d591fd617b24798788381d5581657b5fa9dc2b46c39b1f13"
"20260729_095846(0).jpg","True","True","e32b5f143b01b7dbbbb77fd798c27d3fd01ea579cd79b124d7e803d8c141de5d","e32b5f143b01b7dbbbb77fd798c27d3fd01ea579cd79b124d7e803d8c141de5d"
"20260729_100057.jpg","True","True","6446a22ffab9605c96fe724b10fbce92b2646e582c6874a97fa04ade26e0121e","6446a22ffab9605c96fe724b10fbce92b2646e582c6874a97fa04ade26e0121e"
"20260729_100058.jpg","True","True","d6ccb61cb324ca27224134fb69912dc0a461e240829621ae709e9ed0fd9a56bc","d6ccb61cb324ca27224134fb69912dc0a461e240829621ae709e9ed0fd9a56bc"
"20260729_102157.jpg","True","True","58b537ec87704aaf02ee2bab1989e92800992624ea3717a8dd997f1119ddf01d","58b537ec87704aaf02ee2bab1989e92800992624ea3717a8dd997f1119ddf01d"
"20260729_102204.jpg","True","True","1375e4885b24fcaabca2c0d1fb686b3f64c4d8fe1b8ffed2d60b5f44972df336","1375e4885b24fcaabca2c0d1fb686b3f64c4d8fe1b8ffed2d60b5f44972df336"
"20260729_102229(0).jpg","True","True","4bdcffd779adedbc77cc1ba1b4b8d820a696d53ef03b2882a0fac8203d5be869","4bdcffd779adedbc77cc1ba1b4b8d820a696d53ef03b2882a0fac8203d5be869"
"20260729_102230(0).jpg","True","True","d87e5d4461afccbc094b1a9065cf6d1937906bc090ba5890332f8703a97a9859","d87e5d4461afccbc094b1a9065cf6d1937906bc090ba5890332f8703a97a9859"
"20260729_102253.jpg","True","True","dd4eb63ca9c0296156983d58935916db05dd8fb90d600ef40bb2baa6fb6223f6","dd4eb63ca9c0296156983d58935916db05dd8fb90d600ef40bb2baa6fb6223f6"
"20260729_102258.jpg","True","True","30e0357718c386277f82b1f96320efc35e585668103baf5c2a76f79abf6b5b9f","30e0357718c386277f82b1f96320efc35e585668103baf5c2a76f79abf6b5b9f"
"20260729_102302(0).jpg","True","True","98f841d2718af1614cab9f39d1ce3c9dcef4e31c40b0c967e1f79f6f8c7db94d","98f841d2718af1614cab9f39d1ce3c9dcef4e31c40b0c967e1f79f6f8c7db94d"
"20260729_102321.jpg","True","True","625833c1bbeac264aa67eb05d4498197cd6a82d9442e9d7b8d9af65d14bac8ef","625833c1bbeac264aa67eb05d4498197cd6a82d9442e9d7b8d9af65d14bac8ef"
"20260729_102509.jpg","True","True","6e0fcb280b84fb3d2d20816aaef684526e00df584486dd4aecabd170311c0019","6e0fcb280b84fb3d2d20816aaef684526e00df584486dd4aecabd170311c0019"
"20260729_102835(0).jpg","True","True","2d4d023f5ba45b635847cd05b5feeafda0c1a364f4f4cd221e080cdaea7e017d","2d4d023f5ba45b635847cd05b5feeafda0c1a364f4f4cd221e080cdaea7e017d"
"20260729_102837.jpg","True","True","92d1c475c9f1e54f19b60870b0541f8baaf9843b390e489c97d4a1937206c428","92d1c475c9f1e54f19b60870b0541f8baaf9843b390e489c97d4a1937206c428"
"20260729_103531(0).jpg","True","True","8cb0d758cb625b415a8bc48a0a042cbbcff773dabbe4ebcfcd9f3d8471a917d0","8cb0d758cb625b415a8bc48a0a042cbbcff773dabbe4ebcfcd9f3d8471a917d0"
"20260729_103540(0).jpg","True","True","f1dfb5dcc131ea74eb3213294015046477ef96ab6e80054d1c20eade96ad0af9","f1dfb5dcc131ea74eb3213294015046477ef96ab6e80054d1c20eade96ad0af9"
"20260729_103736.jpg","True","True","d1dd863e9fb1186d2e3224921aacf4de99c3144f67829b68752ebc63dbae3fb1","d1dd863e9fb1186d2e3224921aacf4de99c3144f67829b68752ebc63dbae3fb1"
"20260729_103754(0).jpg","True","True","e53c1882b5ac57b85d4694afdfa5cffaf3f7cd8db8f4ccc50b7b56fbe4ad7ff9","e53c1882b5ac57b85d4694afdfa5cffaf3f7cd8db8f4ccc50b7b56fbe4ad7ff9"
"20260729_103803(0).jpg","True","True","97a64c1e44793717e94d433a68c5f32f8ed8ea4daf55b2d366df345a65674b59","97a64c1e44793717e94d433a68c5f32f8ed8ea4daf55b2d366df345a65674b59"
"20260729_103806.jpg","True","True","6582de375106ceac066108ff441d2cc08a77e0d76874f084979d8c72e1fee128","6582de375106ceac066108ff441d2cc08a77e0d76874f084979d8c72e1fee128"
"20260729_103816.jpg","True","True","e4ec20af8556547bca19538ed85a5b3fd027bbcd6ff4e2b919259afdac3b3dc6","e4ec20af8556547bca19538ed85a5b3fd027bbcd6ff4e2b919259afdac3b3dc6"
"20260729_103817.jpg","True","True","62bccf86c6a07e0560a43a29eb5124e6d43a3f6e71d2537f897451e8eab348c8","62bccf86c6a07e0560a43a29eb5124e6d43a3f6e71d2537f897451e8eab348c8"
