epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1472.98,0.5911,0.67178,0.79068,0.00336,0.32266,0.84297,0.72546,0.82316,0.6795,0.8246,0.73649,0.83223,0.67905,0.78852,0.93341,0.91951,0.00299,0,0.000373434,0.000373434,0.000373434
29,1524.89,0.59655,0.66101,0.84511,0.00339,0.33519,0.86641,0.7027,0.82374,0.67548,0.85348,0.71622,0.82772,0.67276,0.79529,0.94004,0.93921,0.00305,0,0.000364863,0.000364863,0.000364863
30,1576.41,0.55873,0.58379,0.76419,0.0026,0.32803,0.85965,0.70356,0.81922,0.6742,0.85373,0.70989,0.82729,0.67331,0.82654,0.97299,0.88899,0.00332,0,0.000356118,0.000356118,0.000356118
31,1628.66,0.60672,0.64702,0.76923,0.00243,0.34952,0.85014,0.71622,0.81833,0.67321,0.843,0.72563,0.83031,0.66878,0.81817,0.96785,0.89439,0.00327,0,0.000347214,0.000347214,0.000347214
32,1680.72,0.59671,0.61002,0.71258,0.00278,0.35455,0.88279,0.71248,0.82404,0.67498,0.88279,0.71248,0.83688,0.66547,0.81677,0.96279,0.91924,0.00315,0,0.000338164,0.000338164,0.000338164
33,1732.81,0.61508,0.64031,0.81674,0.00361,0.34427,0.87394,0.72297,0.82127,0.67459,0.87198,0.72297,0.83335,0.66284,0.80081,0.95874,0.92758,0.00308,0,0.000328982,0.000328982,0.000328982
34,1783.87,0.58938,0.64353,0.7811,0.00242,0.34227,0.85836,0.71622,0.82674,0.68181,0.80704,0.76302,0.83771,0.66323,0.77509,0.98085,0.90048,0.00303,0,0.000319682,0.000319682,0.000319682
35,1835.55,0.53028,0.62282,0.67776,0.00235,0.31048,0.86413,0.71622,0.82703,0.68658,0.81181,0.75,0.8393,0.66867,0.76144,0.97129,0.87874,0.00298,0,0.000310278,0.000310278,0.000310278
36,1887.09,0.5512,0.62172,0.73194,0.00224,0.35636,0.8038,0.77509,0.83641,0.70407,0.81081,0.78185,0.85022,0.68064,0.73869,0.97688,0.84847,0.00288,0,0.000300785,0.000300785,0.000300785
37,1939.24,0.57104,0.60594,0.69261,0.00213,0.31869,0.80676,0.78986,0.83836,0.71036,0.81366,0.79662,0.85332,0.682,0.7215,0.98752,0.8338,0.00281,0,0.000291218,0.000291218,0.000291218
38,1992.14,0.60178,0.68053,0.73584,0.00246,0.3587,0.79961,0.80886,0.84187,0.71151,0.80629,0.81561,0.85682,0.6802,0.70585,0.99862,0.83298,0.00276,0,0.000281591,0.000281591,0.000281591
39,2044.15,0.56948,0.61591,0.70829,0.0025,0.32814,0.79959,0.80872,0.84302,0.71447,0.80586,0.81335,0.85789,0.67915,0.70387,1.00418,0.80617,0.00274,0,0.000271919,0.000271919,0.000271919
40,2099.15,0.56605,0.61976,0.70097,0.00241,0.30577,0.81184,0.7973,0.84438,0.71653,0.81966,0.80405,0.85914,0.68487,0.70584,1.01266,0.81149,0.00275,0,0.000262217,0.000262217,0.000262217
41,2152.25,0.56677,0.60339,0.67248,0.00225,0.32985,0.82963,0.78965,0.84582,0.71786,0.83673,0.79641,0.86027,0.67881,0.70803,0.99662,0.81317,0.00278,0,0.0002525,0.0002525,0.0002525
42,2204.56,0.59765,0.60066,0.70823,0.00313,0.45431,0.83028,0.79331,0.8477,0.7163,0.83735,0.80007,0.86111,0.68732,0.70057,0.98266,0.80165,0.00274,0,0.000242783,0.000242783,0.000242783
43,2256.97,0.56163,0.58716,0.68484,0.00241,0.322,0.82365,0.78897,0.84488,0.71872,0.83067,0.7955,0.85808,0.67529,0.69448,0.95413,0.80413,0.00273,0,0.000233081,0.000233081,0.000233081
44,2309.24,0.54022,0.61352,0.66716,0.00255,0.29841,0.81162,0.78602,0.84689,0.71774,0.8186,0.79277,0.85975,0.68253,0.69237,0.94736,0.79081,0.00269,0,0.000223409,0.000223409,0.000223409
45,2361.47,0.52613,0.58042,0.66553,0.00266,0.26036,0.81339,0.79517,0.84462,0.71891,0.8203,0.80193,0.85677,0.68226,0.69631,0.9518,0.79786,0.00271,0,0.000213782,0.000213782,0.000213782
46,2414.06,0.5708,0.60558,0.66287,0.00202,0.31409,0.81774,0.7973,0.84557,0.72285,0.82427,0.80405,0.85811,0.68578,0.70071,0.95486,0.79976,0.00273,0,0.000204215,0.000204215,0.000204215
47,2466.26,0.52457,0.59502,0.67636,0.00234,0.30429,0.82966,0.7973,0.84447,0.71358,0.83488,0.80405,0.8598,0.67556,0.71484,0.94049,0.80697,0.00273,0,0.000194722,0.000194722,0.000194722
48,2519.08,0.56656,0.63295,0.67922,0.00239,0.3276,0.82739,0.77732,0.84475,0.72033,0.83458,0.78407,0.86082,0.6875,0.7083,0.94756,0.80134,0.00276,0,0.000185318,0.000185318,0.000185318
49,2570.93,0.55468,0.57681,0.68904,0.00302,0.29091,0.85145,0.77456,0.84718,0.71983,0.8585,0.78378,0.86225,0.67957,0.70436,0.93929,0.79486,0.00273,0,0.000176018,0.000176018,0.000176018
50,2621.9,0.52647,0.58131,0.62771,0.00226,0.31362,0.82197,0.77989,0.85011,0.72478,0.82909,0.78665,0.8634,0.68765,0.70102,0.92193,0.78311,0.00272,0,0.000166836,0.000166836,0.000166836
51,2674.04,0.5154,0.56668,0.60608,0.00209,0.32025,0.83958,0.75,0.8473,0.72302,0.82075,0.77343,0.86178,0.68162,0.68734,0.9208,0.79185,0.00267,0,0.000157786,0.000157786,0.000157786
52,2726.92,0.52457,0.56742,0.63336,0.00214,0.29261,0.84625,0.74378,0.84499,0.71666,0.8396,0.75676,0.85972,0.67751,0.69446,0.90668,0.79853,0.00271,0,0.000148882,0.000148882,0.000148882
