epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,852.899,0.6296,0.68785,1.99001,0.00331,0.77577,0.75617,0.53378,0.65994,0.52594,0.75617,0.53378,0.66466,0.54254,0.94967,1.43867,1.92496,0.00366,0,0.000832349,0.000832349,0.000832349
29,881.882,0.6908,0.73514,2.10327,0.00306,0.79281,0.8287,0.52703,0.66752,0.53326,0.8287,0.52703,0.67459,0.54528,0.95918,1.42448,1.8695,0.00366,0,0.000820525,0.000820525,0.000820525
30,911.205,0.73057,0.71847,1.842,0.00326,0.58017,0.8287,0.52703,0.66752,0.53326,0.8287,0.52703,0.67459,0.54528,0.95918,1.42448,1.8695,0.00366,0,0.000808389,0.000808389,0.000808389
31,941.184,0.68343,0.6754,1.91011,0.00309,0.55309,0.8171,0.54334,0.67667,0.54353,0.8171,0.54334,0.68554,0.55657,0.94146,1.41678,1.8142,0.00366,0,0.000795954,0.000795954,0.000795954
32,970.177,0.62589,0.73205,1.66763,0.00277,0.58437,0.75752,0.59459,0.69115,0.56547,0.75752,0.59459,0.69498,0.56215,0.87131,1.41827,1.73793,0.00337,0,0.000783231,0.000783231,0.000783231
33,1001.04,0.67254,0.7112,1.87416,0.00319,0.574,0.81473,0.58784,0.70115,0.57152,0.81473,0.58784,0.69929,0.56385,0.85809,1.39028,1.69587,0.00329,0,0.000770234,0.000770234,0.000770234
34,1035.38,0.61862,0.67534,1.90037,0.00311,0.50169,0.81473,0.58784,0.70115,0.57152,0.81473,0.58784,0.69929,0.56385,0.85809,1.39028,1.69587,0.00329,0,0.000756976,0.000756976,0.000756976
35,1069.96,0.59273,0.61923,1.75441,0.00282,0.45685,0.76073,0.60811,0.70978,0.58292,0.76073,0.60811,0.70598,0.56627,0.82718,1.35816,1.68047,0.00316,0,0.000743468,0.000743468,0.000743468
36,1102.02,0.6529,0.6948,1.68267,0.00281,0.4504,0.79189,0.57432,0.70556,0.57119,0.79189,0.57432,0.71184,0.56574,0.86891,1.39232,1.66119,0.00348,0,0.000729725,0.000729725,0.000729725
37,1134.62,0.61226,0.66223,1.76117,0.00276,0.52572,0.69191,0.62215,0.70442,0.56861,0.69191,0.62215,0.70916,0.56386,0.86627,1.41068,1.6977,0.00337,0,0.000715761,0.000715761,0.000715761
38,1165.16,0.60726,0.68484,1.73387,0.0032,0.3834,0.69191,0.62215,0.70442,0.56861,0.69191,0.62215,0.70916,0.56386,0.86627,1.41068,1.6977,0.00337,0,0.000701588,0.000701588,0.000701588
39,1196.41,0.5698,0.61074,1.67136,0.00269,0.42421,0.76559,0.59584,0.71241,0.5825,0.76559,0.59584,0.71727,0.57534,0.87591,1.41035,1.64942,0.00348,0,0.000687222,0.000687222,0.000687222
40,1226.1,0.61406,0.69694,1.77276,0.00277,0.50148,0.8062,0.60811,0.71853,0.59298,0.8062,0.60811,0.72457,0.58933,0.86579,1.37594,1.60509,0.00343,0,0.000672675,0.000672675,0.000672675
41,1257.83,0.57529,0.67188,1.34092,0.00266,0.49321,0.8062,0.60811,0.71853,0.59298,0.8062,0.60811,0.72457,0.58933,0.86579,1.37594,1.60509,0.00343,0,0.000657963,0.000657963,0.000657963
42,1286.58,0.59174,0.67588,1.41673,0.00284,0.39809,0.80244,0.62838,0.71783,0.5949,0.80244,0.62838,0.72401,0.58839,0.8799,1.39417,1.57504,0.00358,0,0.000643101,0.000643101,0.000643101
43,1316.6,0.59895,0.65338,1.61752,0.00312,0.47202,0.79233,0.62838,0.72245,0.59337,0.79233,0.62838,0.72864,0.58761,0.88907,1.38911,1.57355,0.00362,0,0.000628101,0.000628101,0.000628101
44,1347.56,0.61437,0.68538,1.62656,0.00318,0.48712,0.82612,0.59459,0.7201,0.59075,0.82612,0.59459,0.72843,0.57637,0.88768,1.3773,1.57042,0.00355,0,0.000612981,0.000612981,0.000612981
